Level,Activity ID,Phase,Activity,Predecessor,Duration Months,Critical,Basis
5,A1900,Delivery,Main construction / fabrication / assembly,A1600;A1700;A1800,55,Yes,"Duration derived from sector schedule model, selected schedule level and scenario compression/buffer logic."
5,A2000,Integration,Systems integration and testing,A1900,25,Yes,"Duration derived from sector schedule model, selected schedule level and scenario compression/buffer logic."
5,A2100,Handover,"Commissioning, operations readiness and closeout",A2000,15,Yes,"Duration derived from sector schedule model, selected schedule level and scenario compression/buffer logic."
5,P1000,Package,Launch campaign,A1900,9,Yes,"Duration derived from sector schedule model, selected schedule level and scenario compression/buffer logic."
5,P1100,Activity,Launch campaign - mobilise / method,A1900,2,Yes,"Duration derived from sector schedule model, selected schedule level and scenario compression/buffer logic."
5,P1200,Activity,Launch campaign - execute works,P1100,5,Yes,"Duration derived from sector schedule model, selected schedule level and scenario compression/buffer logic."
5,P1300,Activity,Launch campaign - inspect / closeout,P1200,2,Yes,"Duration derived from sector schedule model, selected schedule level and scenario compression/buffer logic."
5,P2000,Package,Payload integration,P1000,9,Yes,"Duration derived from sector schedule model, selected schedule level and scenario compression/buffer logic."
5,P2100,Activity,Payload integration - mobilise / method,P1000,2,Yes,"Duration derived from sector schedule model, selected schedule level and scenario compression/buffer logic."
5,P2200,Activity,Payload integration - execute works,P2100,5,Yes,"Duration derived from sector schedule model, selected schedule level and scenario compression/buffer logic."
5,P2300,Activity,Payload integration - inspect / closeout,P2200,2,Yes,"Duration derived from sector schedule model, selected schedule level and scenario compression/buffer logic."
5,P3000,Package,Power and ECLSS,P2000,9,Yes,"Duration derived from sector schedule model, selected schedule level and scenario compression/buffer logic."
5,P3100,Activity,Power and ECLSS - mobilise / method,P2000,2,Yes,"Duration derived from sector schedule model, selected schedule level and scenario compression/buffer logic."
5,P3200,Activity,Power and ECLSS - execute works,P3100,5,Yes,"Duration derived from sector schedule model, selected schedule level and scenario compression/buffer logic."
5,P3300,Activity,Power and ECLSS - inspect / closeout,P3200,2,Yes,"Duration derived from sector schedule model, selected schedule level and scenario compression/buffer logic."
5,P4000,Package,Surface logistics,P3000,9,Yes,"Duration derived from sector schedule model, selected schedule level and scenario compression/buffer logic."
5,P4100,Activity,Surface logistics - mobilise / method,P3000,2,Yes,"Duration derived from sector schedule model, selected schedule level and scenario compression/buffer logic."
5,P4200,Activity,Surface logistics - execute works,P4100,5,Yes,"Duration derived from sector schedule model, selected schedule level and scenario compression/buffer logic."
5,P4300,Activity,Surface logistics - inspect / closeout,P4200,2,Yes,"Duration derived from sector schedule model, selected schedule level and scenario compression/buffer logic."
5,P5000,Package,Mission operations,P4000,9,Yes,"Duration derived from sector schedule model, selected schedule level and scenario compression/buffer logic."
5,P5100,Activity,Mission operations - mobilise / method,P4000,2,Yes,"Duration derived from sector schedule model, selected schedule level and scenario compression/buffer logic."
5,P5200,Activity,Mission operations - execute works,P5100,5,Yes,"Duration derived from sector schedule model, selected schedule level and scenario compression/buffer logic."
5,P5300,Activity,Mission operations - inspect / closeout,P5200,2,Yes,"Duration derived from sector schedule model, selected schedule level and scenario compression/buffer logic."
5,P6000,Package,Robotic assembly,P5000,9,Yes,"Duration derived from sector schedule model, selected schedule level and scenario compression/buffer logic."
5,P6100,Activity,Robotic assembly - mobilise / method,P5000,2,Yes,"Duration derived from sector schedule model, selected schedule level and scenario compression/buffer logic."
5,P6200,Activity,Robotic assembly - execute works,P6100,5,Yes,"Duration derived from sector schedule model, selected schedule level and scenario compression/buffer logic."
5,P6300,Activity,Robotic assembly - inspect / closeout,P6200,2,Yes,"Duration derived from sector schedule model, selected schedule level and scenario compression/buffer logic."
