Level,Activity ID,Phase,Activity,Predecessor,Duration Months,Critical,Basis
5,A1300,Design,Concept / reference architecture,A1200,4,No,"Duration derived from sector schedule model, selected schedule level and scenario compression/buffer logic."
5,A1400,Consents,"Planning, regulatory and stakeholder approvals",A1200,4,Yes,"Duration derived from sector schedule model, selected schedule level and scenario compression/buffer logic."
5,A1500,Procurement,Procurement strategy and tender packaging,A1300,3,No,"Duration derived from sector schedule model, selected schedule level and scenario compression/buffer logic."
5,A1600,Design,Detailed design / IFC development,A1300,5,No,"Duration derived from sector schedule model, selected schedule level and scenario compression/buffer logic."
5,A1700,Procurement,Long-lead procurement,A1500,4,Yes,"Duration derived from sector schedule model, selected schedule level and scenario compression/buffer logic."
5,A1800,Enabling,Site / launch integration readiness,A1400;A1500,3,No,"Duration derived from sector schedule model, selected schedule level and scenario compression/buffer logic."
5,A1900,Delivery,Main construction / fabrication / assembly,A1600;A1700;A1800,11,Yes,"Duration derived from sector schedule model, selected schedule level and scenario compression/buffer logic."
5,A2000,Integration,Systems integration and testing,A1900,5,Yes,"Duration derived from sector schedule model, selected schedule level and scenario compression/buffer logic."
5,A2100,Handover,"Commissioning, operations readiness and closeout",A2000,3,Yes,"Duration derived from sector schedule model, selected schedule level and scenario compression/buffer logic."
5,P1000,Package,Grid connection,A1900,2,Yes,"Duration derived from sector schedule model, selected schedule level and scenario compression/buffer logic."
5,P1100,Activity,Grid connection - mobilise / method,A1900,1,Yes,"Duration derived from sector schedule model, selected schedule level and scenario compression/buffer logic."
5,P1200,Activity,Grid connection - execute works,P1100,1,Yes,"Duration derived from sector schedule model, selected schedule level and scenario compression/buffer logic."
5,P1300,Activity,Grid connection - inspect / closeout,P1200,1,Yes,"Duration derived from sector schedule model, selected schedule level and scenario compression/buffer logic."
5,P2000,Package,Data halls,P1000,2,Yes,"Duration derived from sector schedule model, selected schedule level and scenario compression/buffer logic."
5,P2100,Activity,Data halls - mobilise / method,P1000,1,Yes,"Duration derived from sector schedule model, selected schedule level and scenario compression/buffer logic."
5,P2200,Activity,Data halls - execute works,P2100,1,Yes,"Duration derived from sector schedule model, selected schedule level and scenario compression/buffer logic."
5,P2300,Activity,Data halls - inspect / closeout,P2200,1,Yes,"Duration derived from sector schedule model, selected schedule level and scenario compression/buffer logic."
5,P3000,Package,Cooling plant,P2000,2,Yes,"Duration derived from sector schedule model, selected schedule level and scenario compression/buffer logic."
5,P3100,Activity,Cooling plant - mobilise / method,P2000,1,Yes,"Duration derived from sector schedule model, selected schedule level and scenario compression/buffer logic."
5,P3200,Activity,Cooling plant - execute works,P3100,1,Yes,"Duration derived from sector schedule model, selected schedule level and scenario compression/buffer logic."
5,P3300,Activity,Cooling plant - inspect / closeout,P3200,1,Yes,"Duration derived from sector schedule model, selected schedule level and scenario compression/buffer logic."
5,P4000,Package,Power train,P3000,2,Yes,"Duration derived from sector schedule model, selected schedule level and scenario compression/buffer logic."
5,P4100,Activity,Power train - mobilise / method,P3000,1,Yes,"Duration derived from sector schedule model, selected schedule level and scenario compression/buffer logic."
5,P4200,Activity,Power train - execute works,P4100,1,Yes,"Duration derived from sector schedule model, selected schedule level and scenario compression/buffer logic."
5,P4300,Activity,Power train - inspect / closeout,P4200,1,Yes,"Duration derived from sector schedule model, selected schedule level and scenario compression/buffer logic."
5,P5000,Package,Controls and commissioning,P4000,2,Yes,"Duration derived from sector schedule model, selected schedule level and scenario compression/buffer logic."
5,P5100,Activity,Controls and commissioning - mobilise / method,P4000,1,Yes,"Duration derived from sector schedule model, selected schedule level and scenario compression/buffer logic."
5,P5200,Activity,Controls and commissioning - execute works,P5100,1,Yes,"Duration derived from sector schedule model, selected schedule level and scenario compression/buffer logic."
5,P5300,Activity,Controls and commissioning - inspect / closeout,P5200,1,Yes,"Duration derived from sector schedule model, selected schedule level and scenario compression/buffer logic."
